date,year,month,BienesConsumo_NoDuradero,BienesConsumo_Duradero,BienesConsumo_Total,MateriasPrimas_CombustiblesYLubricantes,MateriasPrimas_ParaAgricultura,MateriasPrimas_ParaIndustria,MateriasPrimas_MaterialesConstruccion,MateriasPrimas_PartesAccesoriosEquipoTransporte,BienesCapital_Total,BienesCapital_ParaAgricultura,BienesCapital_ParaIndustria,BienesCapital_EquipoTransporte,BienesCapital_TotalAmpliado,Diversos_Total,TotalImportaciones_CIF,TotalImportaciones_FOB,Importaciones_ParaTransformacion,ImportacionesTemporales_VehiculosYAeronaves,TotalImportaciones_CIF2,TotalImportaciones_FOBAjustado_MillonesUSD
1998-07-31,1998,7,20.792638,10.791373,31.584011,10.70572,5.312422,49.048303,6.754985,4.023915,75.845345,0.977421,18.583365,4.549663,24.110449,0.750294,132.290099,,,,132.2901,0.0
1998-08-31,1998,8,20.580106,9.751678,30.331784,10.329307,3.4976369999999997,45.697486,7.6859519999999995,4.1905149999999995,71.400897,1.186632,18.768459,2.331216,22.286307,1.0483529999999999,125.06734100000001,,,,125.0673,0.0
1998-09-30,1998,9,19.81198,11.674964,31.486943999999998,10.680667,3.4425209999999997,46.378600999999996,6.385212999999999,4.257632,71.144634,1.5949849999999999,36.893682,8.498802999999999,46.98747,1.4688869999999998,151.087935,,,,148.3979,0.0
1998-10-31,1998,10,18.192246,13.69432,31.886566000000002,10.217627,9.894494,49.044559,6.066364999999999,3.5657509999999997,78.788796,5.026425,31.080081999999997,7.632827,43.73933399999999,2.39446,156.809156,,,,149.2692,0.0
1998-11-30,1998,11,20.922531,13.592319999999999,34.514851,9.089772,10.013971999999999,47.55075,6.824300999999999,3.9777799999999996,77.456575,2.828764,19.631377999999998,7.643936,30.104077999999998,1.080087,143.155591,,,,135.9956,0.0
1998-12-31,1998,12,23.828653,16.339305,40.167958,10.665769,7.765458,48.21118,9.177632,4.146688,79.96672699999999,1.59615,22.839214,7.744759999999999,32.180124,0.780289,153.095098,,,,145.3251,0.0
2004-01-31,2004,1,18.568315,13.807239,32.375553999999994,7.5892800000000005,7.042383,43.145423,6.3758490000000005,4.16109,68.314025,3.2475190000000005,25.902873,9.848324999999999,38.998717,0.547571,140.23586699999998,,,,132.46188428962998,0.0
2004-02-29,2004,2,16.357909,11.555568999999998,27.913477999999998,7.657745,4.384292,43.233991,7.02351,4.093148,66.39268600000001,4.720679,26.354253,9.040225,40.115156999999996,0.736713,135.15803400000001,,,,127.59702088805,0.0
2004-03-31,2004,3,23.495307,15.860420000000001,39.355727,7.978585,6.540708,50.174658,7.8896,5.188593,77.772144,9.476144999999999,23.459899,9.244091,42.18013499999999,0.9234309999999999,160.231437,,,,152.49239372416,0.0
2004-04-30,2004,4,18.581975999999997,10.339689,28.921664999999997,8.496998,4.825837,47.85381400000001,5.815937,4.567121,71.559707,3.1373309999999996,23.928787,6.975064000000001,34.041182,0.8237260000000001,135.34628,,,,131.91586155307,0.0
2004-05-31,2004,5,22.225821,13.472074,35.697895,8.520621,4.49847,56.098246,6.3120829999999994,5.328899,80.758319,5.689077,27.291315,6.091392999999999,39.071785,0.685373,156.213372,,,,153.46717508384,0.0
2004-06-30,2004,6,19.560395,10.571922,30.132317,7.242093,8.600194,56.363690999999996,8.070731,4.35338,84.63008899999998,3.213466,30.13714,4.5578769999999995,37.908483,1.399065,154.069954,,,,152.14741928343,0.0
2004-07-31,2004,7,18.990458000000004,11.764539,30.754997000000003,8.066899000000001,6.962286,59.356343,8.861458,4.593474,87.84046000000001,3.3765210000000003,29.212836,5.417353,38.00671,1.251162,157.853329,,,,156.26944482027,0.0
2004-08-31,2004,8,20.981099,12.993234000000001,33.974333,9.043935999999999,5.688883,46.905795000000005,9.08833,4.532518,75.259462,1.662426,28.516031,9.345939,39.524396,3.317848,152.076039,,,,147.74682041706,0.0
2004-09-30,2004,9,20.685624999999998,13.217388,33.903013,8.62606,6.969936,49.215905,11.98046,4.200091,80.992452,2.568155,37.045182,9.645885000000002,49.259221999999994,1.8787330000000002,166.03341999999998,,,,162.60899207855996,0.0
2004-10-31,2004,10,20.645825000000002,11.527,32.172825,18.262614,14.189016,54.621058,11.073848,4.906661,103.053197,5.61543,29.736454,8.276715,43.628598999999994,2.36999,181.22461099999998,,,,179.67491042396998,0.0
2004-11-30,2004,11,24.785844,12.926263,37.712107,15.926826,15.366838,52.079972000000005,11.708561,4.425731,99.507928,5.106317000000001,34.340715,15.41122,54.85825200000001,2.045318,194.12360500000003,,,,193.16113431917003,0.0
2004-12-31,2004,12,25.027265999999997,14.867735000000001,39.895001,15.130491,10.645075,58.04745,12.194716,5.309577,101.327309,2.504177,30.725488000000002,12.699760000000001,45.92942500000001,0.710357,187.86209200000002,,,,187.31531851512,0.0
