date,year,month,Estaño,Zinc,Plata,Oro,Otros Minerales,Total Minerales,Gas Natural,Petróleo,Otros Hidrocarburos,Total Hidrocarburos,Soya1,Madera,Castaña,Joyeria,Otros No Tradicionales,Total No Tradicionales,Otros Bienes,Total Declarado,Bienes para Transformacion,Fletes y Seguros,Compra Venta Neto,FOB
2017-08-31,2017,8,24.898155489999997,124.30540346000002,45.07702085000001,123.86730073999998,31.146127089999936,349.29400762999995,246.05776507,0.0,4.61164955000001,250.66941462,75.44431984000002,2.9411713699999997,21.853280880000003,8.557594760000002,41.09179968999996,149.88816654,27.235400339999988,777.0869891299999,-9.939998379999999,-10.700219712991021,-0.37938420944904633,756.0673868275597
2017-09-30,2017,9,24.16193021,130.27346503,60.42993345000001,135.69562432,43.86345136999995,394.42440438,233.17781358,12.48109152,5.115307350000002,250.77421245,56.9151109,2.6728768399999994,13.390035229999999,9.89675818,46.68417441000001,129.55895556000002,22.40845395,797.1660263399999,-10.542137610000001,-13.93867720371842,-0.3891870626237499,772.2960244636578
2017-10-31,2017,10,32.399025089999995,148.64653503,53.018117249999996,92.69074565000001,34.436173680000024,361.1905967,241.96833901,15.05958178,5.545048680000038,262.57296947000003,42.800617509999995,4.253896439999999,6.36326291,7.757294730000002,51.41803335,112.59310494,22.94362575999999,759.30029687,-9.464061099999999,-11.80780580922368,-0.23333333333333334,737.795096627443
2017-11-30,2017,11,36.587884700000004,158.13425472999998,57.602503039999995,94.23354665999999,35.15959164000003,381.71778077,220.07310913,0.0,6.528241449999996,226.60135058,26.58321046,2.979103309999999,1.7420556,7.55822201,45.63855047,84.50114185,21.91995285,714.74022605,-5.23118675,-12.96135648784948,-0.23333333333333334,696.3143494788172
2017-12-31,2017,12,24.7929597,136.74409602,58.05456039,119.28877102,40.597026909999954,379.47741404,228.89169283,0.0,8.49062386,237.38231669,38.76960206,3.3604409299999998,5.436675640000001,5.72607667,48.549226239999996,101.84202153999999,38.29717445000001,756.99892672,-8.28386996,-10.04000422989886,-0.23333333333333334,738.4417191967678
2018-01-31,2018,1,29.70164523,148.37578438999998,51.220138799999994,112.31666619000002,33.27116564000005,374.88540025000003,223.28786255000003,0.0,0.7823014000000228,224.07016395000005,50.573877440000004,4.14050403,8.08060884,4.5948853100000004,35.666454290000004,103.05632991,14.946965720000001,716.95885983,-3.8412801499999993,-6.08767076513983,0.0016666666666666496,707.0315755815269
2018-02-28,2018,2,18.48235662,128.64935104,47.200332939999996,95.66240639,27.331417980000026,317.32586497,222.74869418999998,17.16465486,1.4800101299999682,241.39335917999995,40.338317440000004,2.7475189299999996,10.4792393,7.51456041,40.97829741000001,102.05793349000001,11.456140549999999,672.2332981899999,-4.8561678399999995,-5.98868427771278,0.0016666666666666496,661.3901127389538
2018-03-31,2018,3,23.21218132,123.483489,58.36681666,70.12578192000001,37.999312789999976,313.18758169,260.53725291,0.0,3.7367799799999943,264.27403289,56.604465129999994,3.19676952,21.432422069999998,9.29586871,53.17343845999994,143.70296388999995,14.349135789999995,735.51371426,-5.27684414,-6.970960841335499,0.0016666666666666496,723.2675759453313
2018-04-30,2018,4,29.82012391,151.76474410000003,51.539044679999996,70.60560739,35.13570759999999,338.86522768000003,240.80796576,18.05893487,4.25756069000002,263.12446132,80.66895722,2.3322951499999998,22.23974958,10.72856768,42.71645231999997,158.68602194999997,17.42312265,778.0988335999999,-4.310735639999999,-10.625286791728445,0.05121183044942035,763.214022998721
2018-05-31,2018,5,33.05082219,145.49816201,62.63538792000001,96.24781104,39.06697975000003,376.49916291,272.00690639000004,0.0,4.448525860000018,276.45543225000006,104.8877329,2.657423949999999,25.003318519999997,7.14216498,43.68624791999997,183.37688826999997,19.29269540000001,855.62417883,-4.537358230000001,-14.63770809458404,0.053511533864566946,836.5026240392806
