date,year,month,Reservas Internacionales Netas RIN = RIB - OECP,Reservas Internacionales Brutas RIB,Obligaciones con el exterior a corto plazo OECP,Crédito Neto al Sector Público CNSP,Total,col_8,col_9,BASE MONETARIA BM,Billetes y Mo- nedas en Poder del Público C,MN,UFV,ME,TOTAL
2005-02-01,2005,2,8428292.953368599,9579055.876582399,1150762.9232138006,2138155.4665344004,2116340.9249796,2382469.2148508,-266128.28987120005,5310453.554716402,3272207.539220001,1064664.240969999,,973581.7745264,2038246.015496399
2005-03-01,2005,3,8366324.7488231985,9460857.476927198,1094532.7281039997,1594655.4839619999,2078737.2009812002,2340573.3805956,-261836.17961440003,4784778.380814002,3214677.4009000002,999975.4523099997,,570125.5276039998,1570100.9799139996
2005-04-01,2005,4,8906262.2316144,10077668.482668,1171406.2510536,1532264.1971796018,2086225.8392252,2333945.7515516,-247719.91232640005,5323960.937471202,3556461.51638,942919.3064199996,,824580.1146712002,1767499.4210911999
2005-05-01,2005,5,8840937.8495544,9958133.8985744,1117196.0490200003,1421268.7800812006,2132311.6254804,2357099.2362476,-224787.6107672,5139829.964567602,3552434.9242700003,912194.5855199995,,675200.4547775999,1587395.0402975995
2005-06-01,2005,6,9396650.5587056,10397272.508079201,1000621.9493736003,1194823.2034099442,2091503.6640659994,2324082.6177763995,-232578.9537104,5252920.763946777,3670032.08559,822222.8838500001,8123.9742755775,752541.8202312,1582888.6783567774
2005-07-01,2005,7,10044202.447163502,10987597.840520002,943395.3933565004,958881.8138673266,2063927.4131655004,2295422.5558085004,-231495.142643,5588425.794225161,3848861.81069,1181601.3118099999,8186.3849801601,549776.2867450002,1739563.98353516
2005-08-01,2005,8,10741173.7723631,11675622.3285394,934448.5561762999,697860.9508735372,2068229.6177248002,2295838.4415787,-227608.82385389996,5824177.827877982,4031246.70952,1132101.8989699993,23200.262276683203,637628.9571112999,1792931.1183579825
2005-09-01,2005,9,11148344.2514756,12015032.6634512,866688.4119755996,684844.8885778107,2075237.2631166,2299433.5338454,-224196.27072879998,5802837.375684511,4255116.3583700005,965983.8292599996,34421.234364510405,547315.9536899998,1547721.0173145097
2005-10-01,2005,10,12141657.459759997,12909864.849519998,768207.3897599999,260950.38407806822,2011828.8409800003,2266887.7471800004,-255058.9062,6291224.640300287,4406013.56545,1133481.0139000008,28460.781350287496,723269.2796000001,1885211.0748502887
2005-11-01,2005,11,13196180.05376,13921781.29208,725601.2383199998,156407.42023376306,2044144.8835399998,2273672.10371,-229527.22017000002,6972839.767907544,4504632.6917,1757029.97579,38967.5988175438,672209.5016,2468207.0762075437
2005-12-01,2005,12,13713292.655440003,14387087.775680002,673795.1202399998,688091.2781120898,2071439.2541300002,2296622.27143,-225183.0173,7882707.4211249985,5594201.0735100005,1710202.1113900004,29333.697664999814,548970.53856,2288506.3476150003
2006-01-01,2006,1,14587729.9892,14714299.3316,126569.34240000001,-1648687.4877806045,2114275.9948799997,2318365.1538299997,-204089.15894999998,7223601.1021286305,5086728.48994,1465318.5822299998,38634.76347863054,632919.26648,2136872.6121886303
2006-02-01,2006,2,14990601.474666702,15105361.178061001,114759.70339430001,-1861520.5366064245,2156549.3971356,2360409.5976783,-203860.20054269998,7476248.888785376,5120841.04471,1617798.02118,38855.088763776184,698754.7341316,2355407.844075376
2006-03-01,2006,3,16051614.3274276,16167929.2378781,116314.9104505,-3092549.6995381424,2106930.4973109,2307738.8156622,-200808.3183513,7109009.486362725,5009120.03952,1524519.9972199996,47087.3163933264,528282.1332293999,2099889.446842726
2006-04-01,2006,4,17644597.494134,17757974.478464402,113376.98433039998,-3801233.996305354,2057737.1183431998,2270096.4536268,-212359.3352836,7530126.929339103,5279907.0948,1611878.7606999993,50382.70299670225,587958.3708424001,2250219.8345391015
2006-05-01,2006,5,19114272.9039272,19208852.0531008,94579.14917359999,-4739770.101708679,2040605.7025151995,2248664.1293403995,-208058.42682520003,7802712.961726333,5454209.747020001,1684472.1665999994,67167.58351873195,596863.4645876,2348503.2147063315
2006-06-01,2006,6,19693618.620678406,19808932.740658805,115314.11998039999,-5224216.569520661,2104661.8024987997,2314047.3731644,-209385.5706656,8158118.56914649,5825656.9895,1590587.9211699995,64968.19276008958,676905.4657164001,2332461.579646489
2006-07-01,2006,7,21263532.7367,21377776.595278397,114243.85857839999,-6036423.085464029,2029819.2230087996,2248585.6194979995,-218766.3964892,8462535.495264685,6078312.85094,1736525.5300500004,68825.43160268581,578871.6826719999,2384222.644324686
2006-08-01,2006,8,22066547.459922,22128368.667456,61821.20753400001,-6696649.455051041,2034003.5030140001,2251674.7237565,-217671.2207425,8554734.471604578,6145235.160560001,1681453.6136699996,67572.92999058009,660472.767384,2409499.31104458
2006-09-01,2006,9,22937480.7200085,23037901.6065855,100420.886577,-7524650.331673229,2017883.6619065003,2232433.4577495004,-214549.795843,8639457.704694781,6338124.00585,1659781.9967800002,58347.856697779236,583203.8453670001,2301333.6988447793
2006-10-01,2006,10,23616860.571792,23713293.352476,96432.78068400003,-7851591.789040281,2035752.0625845005,2255212.2110910006,-219460.1485065,8713178.679910053,6453751.949630001,1575380.9233499998,60961.46883205283,623084.3380979999,2259426.7302800524
2006-11-01,2006,11,24412009.65687,24514905.6321315,102895.9752615,-7669077.864750569,2054292.778558,2270925.660417,-216632.88185899996,9151408.160220215,6743470.532009999,1684690.7145900012,70967.49820071316,652279.4154195001,2407937.6282102144
2006-12-01,2006,12,25209363.420006998,25327896.0867075,118532.66670049999,-6146738.898054233,2015642.5982008995,2238543.6198417996,-222901.02164090003,11227105.5593246,8012030.834029999,2428847.5763100004,70883.53650370621,715343.6124808998,3215074.7252946063
2007-01-01,2007,1,25626520.3901259,25745597.8739736,119077.48384769999,-7090939.044482092,2028701.4490119002,2240038.9334296,-211337.4844177,10183807.498882268,7449216.316060001,1996893.3645399993,72989.90792696715,664707.9103552997,2734591.182822266
2007-02-01,2007,2,26584574.340597898,26701643.7846822,117069.4440843,-7536965.33699384,2033257.7821990994,2256623.2304378995,-223365.4482388,10213553.011068853,7514709.73601,1957453.01471,73855.94576265108,667534.3145862003,2698843.2750588516
2007-03-01,2007,3,27872893.5892122,27988767.7443741,115874.1551619,-8373863.154802791,1993351.8087856998,2226971.3554404997,-233619.5466548,10376139.917006718,7746716.845889999,1820079.5367600003,87365.63049921757,721977.9038475002,2629423.071106718
2007-04-01,2007,4,29459327.773321502,29579574.2106444,120246.43732290002,-9355528.29347577,2019262.0957135002,2228683.8665053,-209421.77079179997,10696881.788542675,8073064.233689999,1878270.310730001,98715.07518657058,646832.1689361,2623817.5548526715
2007-05-01,2007,5,30226833.1475877,30341620.787673302,114787.6400856,-10035894.476221863,2089729.9068454,2293594.6884292,-203864.7815838,10813649.901187193,8281724.05291,1800650.2139799998,99611.44662519211,631664.187672,2531925.848277192
2007-06-01,2007,6,30542295.814040996,30519642.066203497,-22653.747837499996,-9203285.601446914,2035691.463153,2253624.399768,-217932.936615,11445518.94050364,8738273.05022,1815752.7320599996,103262.59222413719,788230.5659995,2707245.8902836367
2007-07-01,2007,7,31962351.3279819,31975925.4454878,13574.1175059,-9927077.914237889,2021864.9106748998,2243143.6716708997,-221278.760996,11875349.766756942,9260221.578419998,1870869.82015,98281.6418355453,645976.7263613999,2615128.188346945
2007-08-01,2007,8,33798421.44981299,33775033.4842383,-23387.9655747,-9554583.963636111,1936314.4790506002,2154572.5867551,-218258.10770450003,12915811.012455542,9971905.52606,2214474.57947,101705.19529934824,627725.7116262001,2943905.4863955486
